Combination;Scores;MeanScore
0;0.5858585858585857 0.652950558213716 0.5937888198757765 0.7554961378490791 0.5924242424242424;0.6361036688442799
1;0.707936507936508 0.5608465608465609 0.3174603174603175 0.6277777777777779 0.42857142857142855;0.5285185185185186
2;0.4053945249597424 0.5824915824915825 0.35714285714285704 0.5434343434343434 0.5;0.477692661605705
3;0.47575757575757566 0.47936507936507927 0.45126705653021437 0.5177133655394525 0.3398692810457516;0.45279447164761477
4;0.6289377289377289 0.585419411506368 0.4603174603174603 0.42512077294685985 0.553030303030303;0.5305651353477441
0 1;0.5797385620915033 0.508994708994709 0.31746031746031744 0.5032679738562091 0.39826839826839827;0.4615459921342274
0 2;0.27368421052631575 0.5347027699968876 0.5612535612535612 0.4929149797570849 0.4166666666666667;0.4558444376401032
0 3;0.49984438219732336 0.4583333333333333 0.561157796451914 0.5563909774436091 0.43888888888888894;0.5029230756630139
0 4;0.5445632798573975 0.5888888888888889 0.5984051036682616 0.6558857808857809 0.5428571428571428;0.5861200392314944
1 2;0.392156862745098 0.5563909774436091 0.26432748538011697 0.4640522875816993 0.3659147869674186;0.40856848002358837
1 3;0.6137566137566138 0.4549707602339182 0.2994152046783625 0.41830065359477125 0.296218487394958;0.4165323439317247
1 4;0.6164021164021164 0.543859649122807 0.2809523809523809 0.5 0.4227743271221532;0.47279769471989147
2 3;0.392156862745098 0.41375661375661377 0.3111111111111111 0.5405228758169934 0.32748538011695905;0.3970065687093551
2 4;0.4571895424836601 0.5632996632996633 0.4276094276094276 0.4743230625583566 0.5027113237639553;0.4850266039430126
3 4;0.48635477582846004 0.4494949494949494 0.48900772430184186 0.44466936572199733 0.48690476190476195;0.47128631545040206
0 1 2;0.6948051948051948 0.5824915824915825 0.5611111111111112 0.7781385281385281 0.501904761904762;0.6236902356902359
0 1 3;0.6000000000000001 0.6444444444444444 0.5271221532091097 0.7463924963924963 0.5396825396825397;0.611528326745718
0 1 4;0.6707070707070707 0.6444444444444444 0.5800865800865801 0.7547049441786283 0.5674603174603173;0.6434806713754082;*
0 2 3;0.5280423280423281 0.5386243386243387 0.6060606060606061 0.6373737373737373 0.562962962962963;0.5746127946127946
0 2 4;0.7007422402159244 0.6223602484472051 0.4541062801932367 0.6222222222222222 0.553030303030303;0.5904922588217782
0 3 4;0.6024531024531025 0.5497835497835498 0.5714285714285715 0.5079365079365079 0.5924242424242424;0.5648051948051948
1 2 3;0.6103896103896104 0.48181818181818187 0.4604554865424431 0.6868686868686867 0.5396825396825397;0.5558429010602923
1 2 4;0.7333333333333334 0.5608465608465608 0.3847167325428195 0.6626984126984127 0.5066666666666667;0.5696523412175587
1 3 4;0.5354497354497355 0.5621212121212121 0.5194805194805194 0.5733333333333334 0.6277777777777778;0.5636325156325157
2 3 4;0.51010101010101 0.5497835497835498 0.4238095238095238 0.43555555555555553 0.5349143610013175;0.4908328000501913
0 1 2 3;0.6021164021164022 0.4959514170040486 0.5690235690235691 0.6656545209176787 0.4454545454545455;0.5556400909032487
0 1 2 4;0.627432216905901 0.5703703703703703 0.5257575757575758 0.6626984126984126 0.5664251207729468;0.5905367393010413
0 1 3 4;0.6707070707070707 0.5994152046783625 0.5194805194805194 0.6238562091503268 0.53743961352657;0.5901797235085698
0 2 3 4;0.627432216905901 0.5333333333333333 0.6239057239057239 0.5612535612535612 0.5151515151515151;0.572215270110007
1 2 3 4;0.6333333333333333 0.44466936572199733 0.5000000000000001 0.6868686868686867 0.4541062801932367;0.5437955332234508
0 1 2 3 4;0.6000000000000001 0.5787878787878787 0.5800865800865801 0.7330917874396135 0.6227743271221532;0.6229481146872451
