n_features	best_param	fold_1_train	fold_1_test	best_param	fold_2_train	fold_2_test	best_param	fold_3_train	fold_3_test	best_param	fold_4_train	fold_4_test	best_param	fold_5_train	fold_5_test	outer_test
120	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6220764329123462	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.637124183006536	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7099663299663299	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5517508417508418	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6430376595082478	0.6277777777777778	0.2745098039215686
130	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6220764329123462	0.6555555555555556	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6318954248366013	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7099663299663299	0.5800865800865801	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5413612313612314	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6432835356364768	0.6277777777777778	0.4444444444444445
140	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6220764329123462	0.6555555555555556	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6186056644880173	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.704466796819738	0.5800865800865801	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5305675805675806	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6840964264493676	0.6277777777777778	0.24999999999999997
150	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7039153439153439	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6186056644880173	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.704466796819738	0.5800865800865801	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5205675805675805	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6840964264493676	0.6277777777777778	0.4444444444444445
160	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6323561732385261	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6186056644880173	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7374951192598251	0.5396825396825397	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5205675805675805	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6840964264493676	0.6277777777777778	0.4444444444444445
170	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6115282865282865	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6318954248366013	0.7662337662337663	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7536249045072574	0.5396825396825397	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5205675805675805	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6343498377554104	0.6277777777777778	0.37499999999999994
180	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6115282865282865	0.5702075702075703	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6174173103584868	0.7662337662337663	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7374951192598251	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5305675805675806	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6617652717652718	0.6277777777777778	0.37499999999999994
190	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5868550839139075	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6174173103584868	0.7662337662337663	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7374951192598251	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.561014911014911	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6846566505390034	0.6277777777777778	0.1904761904761905
200	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5821325750273119	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6174173103584868	0.7662337662337663	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.749259825142178	0.5396825396825397	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5396151996151997	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6672910142259987	0.6277777777777778	0.4117647058823529
210	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5732281461228829	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6174173103584868	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7385569985569986	0.5800865800865801	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5396151996151997	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6672910142259987	0.6277777777777778	0.1904761904761905
220	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6250342359165889	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6089879183996831	0.7662337662337663	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.736250742721331	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5548532948532948	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6844414128469857	0.5621212121212121	0.1904761904761905
230	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6361453470277	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6089879183996831	0.7236652236652237	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.733953823953824	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5663684463684464	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6950545859369389	0.5621212121212121	0.15384615384615383
240	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6245947533718431	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6056474370715857	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.733953823953824	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5663684463684464	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6868628648040412	0.5937888198757765	0.2745098039215686
250	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6245947533718431	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6168986042051058	0.7222222222222223	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.733953823953824	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5558922558922559	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7320827320827321	0.6406926406926408	0.2745098039215686
260	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6037668666616035	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6056474370715857	0.6757575757575758	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7114141414141415	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5838287638287638	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7075620349149762	0.6406926406926408	0.2745098039215686
270	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6441901470848839	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5499917946976771	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6993506493506494	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5838287638287638	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7017201426024956	0.577104377104377	0.24999999999999997
280	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6411616161616162	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5683406898112782	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6993506493506494	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5838287638287638	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6912626262626262	0.577104377104377	0.2222222222222222
290	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6411616161616162	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5683406898112782	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6799855699855699	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5733525733525734	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6801515151515152	0.577104377104377	0.2222222222222222
300	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6411616161616162	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5657480972186855	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6629220779220779	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5693531958237841	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6801515151515152	0.6085858585858586	0.2222222222222222
310	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6538888888888889	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5499917946976771	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6629220779220779	0.4343434343434344	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5693531958237841	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6801515151515152	0.6406926406926408	0.2745098039215686
320	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.641984126984127	0.6666666666666666	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5610137792490734	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6421356421356421	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5852465617171501	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6823737373737374	0.6085858585858586	0.24999999999999997
